itemid	datasource	genre	subgenre	orig_lang	speaker_id	reflabel	observations	maxagree	majority_softlabel	majoritylabel_sampled	majority_distrlabel20	majority_distrlabel40	arg1	arg2	sent1	sent2
original_en_batch_06_item_20	europarl-original-en-ep-00-01-19.txt	europarl	NA	English	<SPEAKER ID=203 NAME=\"Gorostiaga Atxalandabaso\">	NA	10	0.2	synchronous:0; precedence:0; succession:0; reason:0.2; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0.1; contrast:0.1; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	reason;conjunction;result	result	Madam President, we are not asking for more bureaucracy, as Mr Karas put it just a few minutes ago. We are looking for solutions.	Of course capital markets need clarity- that is actually the idea. The Tobin tax will bring some transparency to a very obscure question.	We are looking for solutions.	Of course capital markets need clarity- that is actually the idea.
original_en_batch_07_item_05	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=17 NAME=\"Cox\">	NA	10	0.6	synchronous:0; precedence:0; succession:0; reason:0; result:0.6; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0.1; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0.2; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result;arg1-as-manner	result	Madam President, my group welcomes this debate because it is a defining moment. This is the first time in the history of the modern European project that we stand at the threshold of seeing the mainstreaming of a party of the extreme right.	That is deeply disturbing.	This is the first time in the history of the modern European project that we stand at the threshold of seeing the mainstreaming of a party of the extreme right.	That is deeply disturbing.
original_en_batch_07_item_07	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=22 NAME=\"Titford\">	NA	10	0.3	synchronous:0.1; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0.2; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0.1; contrast:0; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0.1; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0.1	conjunction	conjunction;arg1-as-cond	conjunction	We also, however, deplore the fact that your Parliament should consider interfering in the policies of an elected government of any country, especially one which is part of the European Union. My party at home are certainly not racists, but we do not accept the rule or interference of the European Union very well.	Are you going to interfere with Great Britain's Parliament if we are elected?	My party at home are certainly not racists, but we do not accept the rule or interference of the European Union very well.	Are you going to interfere with Great Britain's Parliament if we are elected?
original_en_batch_07_item_09	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=63 NAME=\"Corbett\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0.2; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	arg2-as-detail;reason;conjunction	conjunction	Mr President, for the Socialist Group I can say we will be supporting the draft opinion put forward by the rapporteurs on behalf of the Constitutional Affairs Committee.	We are giving a positive opinion on the convening of the IGC precisely because we have been impressed by the attitude of the Portuguese Presidency which has taken on board our request that the agenda of the IGC be widened. The Amsterdam leftovers is not a very good term, because they are very important subjects in themselves.	Mr President, for the Socialist Group I can say we will be supporting the draft opinion put forward by the rapporteurs on behalf of the Constitutional Affairs Committee.	We are giving a positive opinion on the convening of the IGC precisely because we have been impressed by the attitude of the Portuguese Presidency which has taken on board our request that the agenda of the IGC be widened.
original_en_batch_07_item_10	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=63 NAME=\"Corbett\">	NA	10	0.3	synchronous:0.1; precedence:0; succession:0; reason:0.1; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0.1; contrast:0.2; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;contrast	conjunction	Mr President, for the Socialist Group I can say we will be supporting the draft opinion put forward by the rapporteurs on behalf of the Constitutional Affairs Committee. We are giving a positive opinion on the convening of the IGC precisely because we have been impressed by the attitude of the Portuguese Presidency which has taken on board our request that the agenda of the IGC be widened.	The Amsterdam leftovers is not a very good term, because they are very important subjects in themselves. Let us call them the first three subjects of the IGC.	We are giving a positive opinion on the convening of the IGC precisely because we have been impressed by the attitude of the Portuguese Presidency which has taken on board our request that the agenda of the IGC be widened.	The Amsterdam leftovers is not a very good term, because they are very important subjects in themselves.
original_en_batch_07_item_11	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=63 NAME=\"Corbett\">	NA	10	0.4	synchronous:0.1; precedence:0; succession:0; reason:0; result:0.4; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.1; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0.2; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0.1; differentcon:0; norel:0	result	result;disjunction	result	We are giving a positive opinion on the convening of the IGC precisely because we have been impressed by the attitude of the Portuguese Presidency which has taken on board our request that the agenda of the IGC be widened. The Amsterdam leftovers is not a very good term, because they are very important subjects in themselves.	Let us call them the first three subjects of the IGC.	The Amsterdam leftovers is not a very good term, because they are very important subjects in themselves.	Let us call them the first three subjects of the IGC.
original_en_batch_07_item_12	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=64 NAME=\"Duff\">	NA	10	0.6	synchronous:0; precedence:0; succession:0; reason:0.6; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason;conjunction	reason	We should no longer be worried that the agenda for the IGC will be restricted.	That is one of the political conclusions that we must draw from the grave decision of 14 Member States yesterday virtually to freeze relations with a partner. It makes it impossible for those same Member States, at the IGC, to fail to give operational meaning to the protection and advancement of fundamental rights.	We should no longer be worried that the agenda for the IGC will be restricted.	That is one of the political conclusions that we must draw from the grave decision of 14 Member States yesterday virtually to freeze relations with a partner.
original_en_batch_07_item_13	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=64 NAME=\"Duff\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.5; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg2-as-detail	arg2-as-detail;conjunction	arg2-as-detail	That is one of the political conclusions that we must draw from the grave decision of 14 Member States yesterday virtually to freeze relations with a partner. It makes it impossible for those same Member States, at the IGC, to fail to give operational meaning to the protection and advancement of fundamental rights.	It is already strange within the convention that is drafting the charter to see representatives of some Member States, especially Britain and France, seeking to argue that a mandatory charter would somehow be an infringement of national sovereignty.	It makes it impossible for those same Member States, at the IGC, to fail to give operational meaning to the protection and advancement of fundamental rights.	It is already strange within the convention that is drafting the charter to see representatives of some Member States, especially Britain and France, seeking to argue that a mandatory charter would somehow be an infringement of national sovereignty.
original_en_batch_07_item_15	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=80 NAME=\"MacCormick\">	NA	10	0.6	synchronous:0; precedence:0.2; succession:0.1; reason:0; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.6; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;precedence	conjunction	My colleagues, Mrs Frassoni and Mr Onesta have already spoken, somewhat sceptically, about some aspects of the matter in hand.	I wish to add a voice of concern on the topic of subsidiarity, not just between Union and Member States but between Member States and their own internally self- governing regions. This has been given inadequate attention and there are many things to be concerned about.	My colleagues, Mrs Frassoni and Mr Onesta have already spoken, somewhat sceptically, about some aspects of the matter in hand.	I wish to add a voice of concern on the topic of subsidiarity, not just between Union and Member States but between Member States and their own internally self- governing regions.
original_en_batch_07_item_17	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=98 NAME=\"Wallis\">	NA	10	0.8	synchronous:0; precedence:0; succession:0; reason:0.2; result:0.8; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	result;reason	result	Mr President, I would like to congratulate the rapporteur and welcome the contents of this report.	It has caused me to reflect on two problems which have come to me recently in my own constituency. Both concern cases with decisions pending before the Court of Justice.	Mr President, I would like to congratulate the rapporteur and welcome the contents of this report.	It has caused me to reflect on two problems which have come to me recently in my own constituency.
original_en_batch_07_item_18	europarl-original-en-ep-00-02-02.txt	europarl	NA	English	<SPEAKER ID=98 NAME=\"Wallis\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.5; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	arg2-as-detail;conjunction	arg2-as-detail;conjunction	Mr President, I would like to congratulate the rapporteur and welcome the contents of this report. It has caused me to reflect on two problems which have come to me recently in my own constituency.	Both concern cases with decisions pending before the Court of Justice.	It has caused me to reflect on two problems which have come to me recently in my own constituency.	Both concern cases with decisions pending before the Court of Justice.
original_en_batch_08_item_08	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=8 NAME=\"Hyland\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0.5; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.3; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	arg2-as-instance;reason;arg2-as-detail	reason	Mr President, I am very pleased that environmental protection is now a priority for this Parliament, as indeed it is for the citizens of Europe.	There is no doubt that abandoned cars represent a serious threat to the visual and physical environment. Our citizens expect us in this regard to protect their interests.	Mr President, I am very pleased that environmental protection is now a priority for this Parliament, as indeed it is for the citizens of Europe.	There is no doubt that abandoned cars represent a serious threat to the visual and physical environment.
original_en_batch_08_item_09	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=8 NAME=\"Hyland\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0; result:0.5; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.1; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.1; disjunction:0; arg1-as-instance:0.1; arg2-as-instance:0.2; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	result	arg2-as-instance;result	result	Mr President, I am very pleased that environmental protection is now a priority for this Parliament, as indeed it is for the citizens of Europe. There is no doubt that abandoned cars represent a serious threat to the visual and physical environment.	Our citizens expect us in this regard to protect their interests.	There is no doubt that abandoned cars represent a serious threat to the visual and physical environment.	Our citizens expect us in this regard to protect their interests.
original_en_batch_08_item_10	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=19 NAME=\"Davies\">	NA	10	0.3	synchronous:0.1; precedence:0.1; succession:0; reason:0; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.3; disjunction:0; arg1-as-instance:0.1; arg2-as-instance:0; arg1-as-detail:0.1; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0.1	conjunction	conjunction;result	conjunction	Mr President, this excellent directive will end the dumping of old cars, encourage recycling, and above all encourage manufacturers to design cars which can easily be recycled.	Now who should pay the costs? Whatever system is adopted, ultimately the cost will be passed on to the consumer.	Mr President, this excellent directive will end the dumping of old cars, encourage recycling, and above all encourage manufacturers to design cars which can easily be recycled.	Now who should pay the costs?
original_en_batch_08_item_11	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=19 NAME=\"Davies\">	NA	10	0.3	synchronous:0.1; precedence:0; succession:0; reason:0.3; result:0.1; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.1; contrast:0; similarity:0.1; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	reason;conjunction	reason	Now who should pay the costs? Whatever system is adopted, ultimately the cost will be passed on to the consumer.	The best way of achieving our environmental objectives is to make the manufacturers our instrument both for collecting the money and for disposing and recycling of the cars.	Whatever system is adopted, ultimately the cost will be passed on to the consumer.	The best way of achieving our environmental objectives is to make the manufacturers our instrument both for collecting the money and for disposing and recycling of the cars.
original_en_batch_08_item_12	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=21 NAME=\"Bowe\">	NA	10	0.3	synchronous:0; precedence:0; succession:0; reason:0.3; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.3; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0; equivalence:0.1; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	similarity	similarity;reason;conjunction	similarity	Mr President, like so many others here today, I believe this is a good measure.	This is a useful measure and it is one which we all need. Most of the technical issues have been resolved.	Mr President, like so many others here today, I believe this is a good measure.	This is a useful measure and it is one which we all need.
original_en_batch_08_item_13	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=21 NAME=\"Bowe\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0.2; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	reason;arg2-as-detail;conjunction	conjunction	Mr President, like so many others here today, I believe this is a good measure. This is a useful measure and it is one which we all need.	Most of the technical issues have been resolved.	This is a useful measure and it is one which we all need.	Most of the technical issues have been resolved.
original_en_batch_08_item_15	europarl-original-en-ep-00-02-03.txt	europarl	NA	English	<SPEAKER ID=26 NAME=\"Helmer\">	NA	10	0.3	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0.2; similarity:0.1; conjunction:0.1; disjunction:0; arg1-as-instance:0.3; arg2-as-instance:0.2; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	arg1-as-instance	arg2-as-instance;arg1-as-instance;contrast	arg1-as-instance	Mr President, this is an extremely bad directive. First of all, as my colleague Mr Bowis has pointed out, it is retrospective and that is wrong in principle. Secondly, it dumps huge costs on the European motor industry which would damage competitiveness and damage employment.	In this Parliament we constantly talk about the need to promote employment and jobs in Europe and yet we constantly pass measures which will have the effect of reducing employment.	Secondly, it dumps huge costs on the European motor industry which would damage competitiveness and damage employment.	In this Parliament we constantly talk about the need to promote employment and jobs in Europe and yet we constantly pass measures which will have the effect of reducing employment.
original_en_batch_09_item_01	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=3 NAME=\"Davies\">	NA	10	0.4	synchronous:0.2; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0.2; contrast:0.4; similarity:0; conjunction:0; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0.1; arg1-as-subst:0; differentcon:0; norel:0	contrast	synchronous;arg2-as-denier;contrast	contrast	Madam President, on a point of order. The BBC this morning reported that a British Member of this House, holding a senior position within his delegation, continues to offer strategic advice to private clients, but does not state in the Register of Interests who these clients are.	The people of Europe have a right to expect their representatives to keep the public interest separate from private profit, but they can only be sure that this is being done in all cases if the information is both publicly available and easily accessible.	The BBC this morning reported that a British Member of this House, holding a senior position within his delegation, continues to offer strategic advice to private clients, but does not state in the Register of Interests who these clients are.	The people of Europe have a right to expect their representatives to keep the public interest separate from private profit, but they can only be sure that this is being done in all cases if the information is both publicly available and easily accessible.
original_en_batch_09_item_03	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=6 NAME=\"Murphy\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0; result:0.2; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;result;arg2-as-detail	conjunction	Madam President, I rise under Rule 9 of the Rules of Procedure of this House and allude to the same point raised by Mr Davies about the very serious allegations made on BBC radio this morning.	I would welcome an assurance from you that you will order an investigation to ensure that the two Members who were named in this particular BBC interview are not running their companies from this Parliament or from parliamentary offices, because that would be a very serious matter indeed. In the past the British Conservatives'double standards have brought the United Kingdom's House of Commons into disrepute, and there is a very real danger that such behaviour would have a similar impact on this Parliament.	Madam President, I rise under Rule 9 of the Rules of Procedure of this House and allude to the same point raised by Mr Davies about the very serious allegations made on BBC radio this morning.	I would welcome an assurance from you that you will order an investigation to ensure that the two Members who were named in this particular BBC interview are not running their companies from this Parliament or from parliamentary offices, because that would be a very serious matter indeed.
original_en_batch_09_item_04	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=6 NAME=\"Murphy\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0.5; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0.1; conjunction:0.2; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	reason	conjunction;reason	reason	Madam President, I rise under Rule 9 of the Rules of Procedure of this House and allude to the same point raised by Mr Davies about the very serious allegations made on BBC radio this morning. I would welcome an assurance from you that you will order an investigation to ensure that the two Members who were named in this particular BBC interview are not running their companies from this Parliament or from parliamentary offices, because that would be a very serious matter indeed.	In the past the British Conservatives'double standards have brought the United Kingdom's House of Commons into disrepute, and there is a very real danger that such behaviour would have a similar impact on this Parliament.	I would welcome an assurance from you that you will order an investigation to ensure that the two Members who were named in this particular BBC interview are not running their companies from this Parliament or from parliamentary offices, because that would be a very serious matter indeed.	In the past the British Conservatives'double standards have brought the United Kingdom's House of Commons into disrepute, and there is a very real danger that such behaviour would have a similar impact on this Parliament.
original_en_batch_09_item_05	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=8 NAME=\"Heaton-Harris\">	NA	10	0.5	synchronous:0.1; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0.1; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.3; arg1-as-detail:0; arg2-as-detail:0; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;arg2-as-instance	conjunction	Madam President, on a point of order. I have already written to you on a number of occasions concerning how points of order are raised in the House.	I wonder on what point of order Mr Davies was speaking. Why did he not mention the fact that one of his own Liberal colleagues also has a consultancy that is under investigation by the BBC?	I have already written to you on a number of occasions concerning how points of order are raised in the House.	I wonder on what point of order Mr Davies was speaking.
original_en_batch_09_item_06	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=8 NAME=\"Heaton-Harris\">	NA	10	0.5	synchronous:0; precedence:0; succession:0; reason:0.2; result:0; arg1-as-cond:0; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0; arg2-as-goal:0; arg1-as-denier:0; arg2-as-denier:0; contrast:0; similarity:0; conjunction:0.5; disjunction:0; arg1-as-instance:0; arg2-as-instance:0.1; arg1-as-detail:0; arg2-as-detail:0.2; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0	conjunction	conjunction;reason;arg2-as-detail	conjunction	I have already written to you on a number of occasions concerning how points of order are raised in the House. I wonder on what point of order Mr Davies was speaking.	Why did he not mention the fact that one of his own Liberal colleagues also has a consultancy that is under investigation by the BBC? Is this House going to let its agenda be determined by scurrilous reports on a programme which bases its news items on lies, or is it going to get down to serious work and address the challenges facing Europe?	I wonder on what point of order Mr Davies was speaking.	Why did he not mention the fact that one of his own Liberal colleagues also has a consultancy that is under investigation by the BBC?
original_en_batch_09_item_07	europarl-original-en-ep-00-02-14.txt	europarl	NA	English	<SPEAKER ID=8 NAME=\"Heaton-Harris\">	NA	10	0.4	synchronous:0; precedence:0; succession:0; reason:0; result:0; arg1-as-cond:0.1; arg2-as-cond:0; arg1-as-negcond:0; arg2-as-negcond:0; arg1-as-goal:0.1; arg2-as-goal:0.1; arg1-as-denier:0; arg2-as-denier:0; contrast:0.1; similarity:0; conjunction:0.4; disjunction:0; arg1-as-instance:0; arg2-as-instance:0; arg1-as-detail:0; arg2-as-detail:0.1; equivalence:0; arg1-as-manner:0; arg2-as-manner:0; arg1-as-excpt:0; arg2-as-excpt:0; arg2-as-subst:0; arg1-as-subst:0; differentcon:0; norel:0.1	conjunction	conjunction	conjunction	I wonder on what point of order Mr Davies was speaking. Why did he not mention the fact that one of his own Liberal colleagues also has a consultancy that is under investigation by the BBC?	Is this House going to let its agenda be determined by scurrilous reports on a programme which bases its news items on lies, or is it going to get down to serious work and address the challenges facing Europe?	Why did he not mention the fact that one of his own Liberal colleagues also has a consultancy that is under investigation by the BBC?	Is this House going to let its agenda be determined by scurrilous reports on a programme which bases its news items on lies, or is it going to get down to serious work and address the challenges facing Europe?
